"","GupDM_A_11","GupDM_A_15","GupDM_A1","GupDM_A10","GupDM_A12","GupDM_A13","GupDM_A14","GupDM_A2","GupDM_A3","GupDM_A4","GupDM_A5","GupDM_A6","GupDM_A7","GupDM_A8","GupDM_A9","GupDM_HAG","GupDM_HAH","GupDM_HAI","GupDM_HAJ","GupDM_HAK","GupDM_HAL","GupDM_HAM","GupDM_HAN","GupDM_HAO","GupDM_HAP","GupDM_HAR","GupDM_HAT","GupDM_HBR","GupDM_HCL","GupDM_HCM","GupDM_HCN","GupDM_HCO","GupDM_HCP","GupDM_HCQ","GupDM_HCR","GupDM_HCS","GupDM_HCT","GupDM_HCU","GupDM_HCV","GupDM_HCY","GupDM_HDB","GupDM_HDF","GupDM_HP","GupDM_HR","GupDM_HS","GupDM_JA","GupDM_JB","GupDM_JC","GupDM_JD","GupDM_JE","GupDM_JG","GupDM_JH","GupDM_JI","GupDM_JJ","GupDM_JK","GupDM_JL","GupDM_JM","GupDM_JN","GupDM_JO","GupDM_JP"
"1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis",0.0004937728,0.000378933239,0.000467104319,0.000469474727,0.000510215451,0.000497416332,0.00062995786,0.00109262666,0.00070687211,0.00078378654,0.00074654851,0.00072970005,0.000557775018,0.000386585384,0.00064493789,0.00055778585,0.0003206653,0.00070997938,0.0007513212,0.00066886696,0.00062784082,0.000479253636,0.00080627306,0.000610452986,0.000498826832,0.0005800144,0.0005343043,0.00051402406,0.0007732854,0.0004602293,0.000520696365,0.0005271551,0.00045291412,0.00068313832,0.0008212537,0.00072650127,0.00049994844,0.0007831538,0.0005122469,0.00017538952,0.00053515415,0.0007060913,0.00079198905,0.00048974547,0.00080825943,0.0007845409,0.00082680675,0.00072309493,0.00065886354,0.00085945915,0.000608793446,0.000764502459,0.00076228644,0.000703623729,0.00083226428,0.00087893344,0.0007430501,0.000707836551,0.00076971738,0.00067631575
"3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation",1.235293e-05,7.77078e-07,3.9224061e-05,3.2396839e-05,8.4260196e-05,5.2937106e-05,0,0,0,0,0,0,9.10913e-05,0,4.92462e-05,0,0,0,0,0,1.037004e-05,3.29371e-05,0,3.6838e-06,7.806055e-06,0,1.992685e-05,0,0,2.23382e-05,0,0,1.002025e-05,0,1.202895e-05,4.73617e-06,3.669226e-05,3.715455e-05,0,2.34467e-05,0,0,0,3.54127e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AEROBACTINSYN-PWY: aerobactin biosynthesis",0,0.0001107399,2.8830291e-05,0,0,1.0325204e-05,0,0,0,0,7.02176e-06,0,0,0.0001352339,0,0,0,0,0,0,0,1.0011661e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6392716e-05,0,0,1.320812e-05,0,0,0,0,0,0,0,0,2.0738e-05,0,0,0,2.14282e-05,1.723983e-05,0,0,4.70095e-06,0,8.30616e-06,0
"ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast",1.36113e-05,0,1.1061102e-05,4.133798e-06,7.434791e-06,1.8390008e-05,1.05387e-05,0,0,3.54523e-06,8.00644e-06,0,1.2273947e-05,0,0,0,0,0,0,0,5.34146e-06,9.73052e-06,0,0,0,0,0,0,0,2.38739e-06,0,0,0,0,0,0,0,1.425303e-05,0,0,0,0,0,0,0,0,0,0,0,4.70654e-06,8.14919e-06,0,7.78274e-06,7.74651e-06,0,0,0,3.60362e-06,1.10816e-05,6.30898e-06
"ANAEROFRUCAT-PWY: homolactic fermentation",0.0003232481,0.00043898044,0.00035993122,0.000354422076,0.000415657455,0.000405829655,0.00021661,0.0002787876,0.0003499618,0.0002862233,0.00031468844,0.0001734143,0.00035745021,0.00046586514,0.00032141042,0.000113029,0.0001772718,0.0001814546,0.000262699,0.0002319579,0.00030145555,0.0002570821,0.0003764919,0.0001982806,0.0002418658,3.35645e-05,0.000173189,0.0002770521,0.000186249,0.00023224619,0.000217708,7.88637e-05,0.0002082496,0.0003632906,0.0002389991,0.000294324,0.0003754543,0.00030077948,0.00012091192,0.000149684,0.0003286058,0.0001000946,0.0002297899,4.516225e-05,0.000334305,0.0003386673,0.0002267041,0.0002293664,0.0002121112,0.0002580099,0.0003285359,0.000184013,0.0002607079,0.0002214806,0.0002078615,0.000333686,0.0001875984,0.0001904432,0.0002555986,0.0002520136
"ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)",0.00045896542,0.000593363606,0.000460817665,0.000451707483,0.00053933791,0.000584862789,0.00033468572,0.000447206,0.00048219551,0.00044990548,0.00037238785,0.00033070868,0.00047979399,0.000618105261,0.00050261707,0.0001556973,0.0002126907,0.0002007483,0.0003940583,0.0002827952,0.000424216102,0.000433503269,0.000527029673,0.000263819209,0.0004260363,0.0001258538,0.0002223319,0.00031027506,0.0003477996,0.0003193964,0.000257090055,8.59245e-05,0.00032045987,0.00043178149,0.00040539469,0.000385733,0.00040219039,0.0003530898,0.00014038682,0.00020692216,0.0003717791,0.0004217669,0.0003214482,0.00011481619,0.00045379777,0.000487147,0.00036408604,0.00040149155,0.00040369491,0.0004202378,0.0005070322,0.00030763724,0.00039691988,0.00038330376,0.00034002981,0.00046635826,0.00036320109,0.00034447434,0.00039669455,0.000418630629
"ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",0.0001953084,0.00050786277,0.0003165357567,0.000361752125,0.000414644708,0.000265102831,0.0001358825,5.50816e-05,0,1.11093e-05,0.0002027425,0,0.000383529455,0.000532301656,0.00036107067,3.845671e-05,5.91244e-05,0,6.22773e-05,8.57416e-05,0.00012787577,0.000165925456,8.23943e-05,7.671615e-05,7.39853e-05,8.60156e-06,0.00011611211,3.97032e-05,1.53379e-05,0.0001230832,8.48218e-05,0,9.831877e-05,0.0001142351,0.0001385039,5.86627e-05,0.0003564834,0.0003304986,1.708402e-05,8.93216e-05,3.47641e-05,7.082891e-05,3.61481e-05,6.651656e-05,0.0001033577,0,8.60677e-05,7.091157e-05,0.0001314188,7.49817e-05,0.0002192158,7.02371e-05,0.0001241986,0.0001297785,4.87428e-05,8.76313e-05,8.350908e-05,6.703389e-05,0.0001369461,0.0001698566
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",0.0001592157,0.000258187772,0.0001572257282,0.000159385492,0.000310556895,0.000156487674,3.687464e-05,0,0,0,0,0,0.00021558859,0.000269873525,0.000132178006,0,0,0,0,0,3.111464e-05,6.434043e-05,7.11503e-06,1.170662e-05,0,0,5.636181e-05,0,0,3.90496e-05,0,0,3.043884e-05,6.50776e-06,1.7766145e-05,8.80039e-06,9.31115e-05,0.0001464742,0,4.735228e-05,0,3.88117e-06,0,0,0,0,0,1.17925e-05,1.62579e-05,0,9.295856e-05,0,1.174404e-05,2.77559e-05,6.59086e-06,0,7.71803e-06,9.93553e-06,1.245674e-05,3.909331e-05
"ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis",0.000129892976,0.000417790217,0.0002777874371,0.000252321673,0.0002181773,0.000145553563,0.000371175172,6.570426e-05,0.00042102808,4.9336062e-05,3.349573e-05,0.00028201253,0.000155744191,0.00040984442,0.00056100631,2.568005e-05,1.43302e-05,1.4225473e-05,0.000550270771,6.63914e-06,4.42796e-05,8.2509723e-05,0.00049738192,5.9433e-05,3.7525528e-05,0,5.552334e-05,5.721726e-05,0,2.706554e-05,6.3819783e-05,7.81709e-06,0.00017690008,0.000382849949,4.94183e-05,1.108486e-05,4.9041766e-05,8.0339406e-05,9.3478e-06,8.869922e-05,8.395595e-05,0.000533332919,7.47328e-06,0.00023226202,3.1335485e-05,3.733979e-05,0.0002450099,0.00026043453,0.000216405522,9.870469e-05,8.522562e-05,0.00041772559,0.000214051882,0.000144068192,0.000273306294,3.243922e-05,0.00031342842,0.000301031711,0.000249035772,0.000105355376
"ARGORNPROST-PWY: arginine, ornithine and proline interconversion",2.69316e-05,1.13062e-05,1.29451e-05,9.26002e-06,0,0,0,0,0,9.37189e-06,1.59063e-05,0,0,1.10056e-05,0,0,0,0,0,0,1.88158e-05,5.71706e-06,0,8.45684e-06,7.29265e-06,0,0,0,0,0,2.02031e-05,0,0,1.436571e-05,0,2.88481e-05,0,0,0,0,0,9.6136e-06,0,0,0,0,0,5.71499e-05,5.43646e-05,2.34245e-05,1.32878e-05,0,3.84404e-05,5.69744e-05,0,0,3.48951e-05,2.096503e-05,3.36488e-05,0
