"","GupDM_A_11","GupDM_A_15","GupDM_A1","GupDM_A10","GupDM_A12","GupDM_A13","GupDM_A14","GupDM_A2","GupDM_A3","GupDM_A4","GupDM_A5","GupDM_A6","GupDM_A7","GupDM_A8","GupDM_A9","GupDM_HAG","GupDM_HAH","GupDM_HAI","GupDM_HAJ","GupDM_HAK","GupDM_HAL","GupDM_HAM","GupDM_HAN","GupDM_HAO","GupDM_HAP","GupDM_HAR","GupDM_HAT","GupDM_HBR","GupDM_HCL","GupDM_HCM","GupDM_HCN","GupDM_HCO","GupDM_HCP","GupDM_HCQ","GupDM_HCR","GupDM_HCS","GupDM_HCT","GupDM_HCU","GupDM_HCV","GupDM_HCY","GupDM_HDB","GupDM_HDF","GupDM_HP","GupDM_HR","GupDM_HS","GupDM_JA","GupDM_JB","GupDM_JC","GupDM_JD","GupDM_JE","GupDM_JG","GupDM_JH","GupDM_JI","GupDM_JJ","GupDM_JK","GupDM_JL","GupDM_JM","GupDM_JN","GupDM_JO","GupDM_JP"
"species-Escherichia_coli",1632336,5666898,6814491,2891920,90112,1030398,529269,333069,0,1119,177424,0,376532,6313393,13473,70242,8769,4084,0,30042,313607,1257467,39320,26727,28929,1377,266858,0,0,128260,107714,0,352035,3768,322949,0,18132,673387,7332,515884,0,15549,39799,4485,35471,0,103089,98342,271717,79119,1252521,93440,379499,315114,105493,15701,104562,130140,388697,767372
"species-Alistipes_putredinis",964884,0,225222,0,0,0,0,24332,0,338150,4172,2204932,5880,0,0,0,0,0,277574,0,0,958044,456855,0,0,0,0,7833,0,11341,0,360,0,659387,0,0,0,0,8763,252328,5139,777847,0,82967,0,0,0,24442,9949,12252,0,0,9975,10483,8187,0,12497,19073,7310,4708
"species-Porphyromonas_asaccharolytica",463162,0,92810,0,0,0,0,61750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"species-Bacteroides_uniformis",455979,0,297353,0,18753,0,401531,305798,50229,31476,0,819510,26522,0,6347,0,0,0,40977,0,0,46232,824912,359372,0,0,0,22350,0,2352,403119,20211,66951,1813469,49161,0,0,0,26258,140621,28060,1839929,0,0,0,0,142012,41066,106644,0,1815,513697,165371,279709,220362,0,191351,199617,160494,45007
"species-Prevotella_stercorea",400637,0,235682,0,3079,0,328815,56477,0,0,94062,0,0,0,0,0,0,0,0,689680,387998,581061,0,1980157,0,686055,0,0,21419,0,13041,0,0,0,0,281848,0,2279801,0,0,0,0,194378,541205,132201,0,2740,161534,674920,2368747,95012,136355,125305,1955335,1739387,36799,194492,167850,115927,1288061
"species-Prevotella_sp._CAG-279",243521,0,1270437,0,0,0,2537866,22604,0,0,25182,0,0,0,0,124603,29027,62032,0,167221,1190,0,0,2072303,0,7699,5255,0,0,110690,0,0,430241,0,351171,93451,0,110126,0,0,0,0,0,0,318741,0,872336,1208,11207,108052,0,3663213,730881,46153,1674779,0,1201249,1201722,827305,311151
"species-Dialister_sp._CAG-357",236139,0,395246,461279,0,251825,0,0,0,0,0,0,0,0,0,0,386873,1131806,185027,0,0,0,0,0,0,160146,0,827086,0,0,36510,0,0,0,0,0,0,0,0,62769,918238,0,0,135165,0,534027,0,0,0,0,0,0,0,0,0,727750,0,0,0,0
"species-Phocaeicola_massiliensis",205918,0,42062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14428,0,0,0,0,0,0,0,0,0,0,0,0,18729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"species-Prevotella_bivia",158517,0,30301,0,0,0,0,0,0,0,10131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"species-Odoribacter_splanchnicus",150636,0,68169,0,17126,0,77520,71290,77685,15954,16572,115029,592,0,0,5362,1987,0,5705,3038,0,69091,15659,0,1058,0,0,4027,0,0,8297,2388,0,6468,29934,0,0,0,2381,3557,5706,57270,0,9182,3080,0,23449,1122668,523594,193059,0,45138,628501,573081,147111,56065,845238,820613,545095,116090
"species-Porphyromonas_uenonis",135260,0,25984,0,0,0,0,7096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11768,0,0,0,0,58298,0,0,0,0,0,0
"species-Clostridium_sp._CAG-413",126864,0,24296,0,0,0,0,1801186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46485,0,0,0,0,0,0,0,0,0,0,0,0,0,71051,27179,0,0,0,54221,0,0,0,0,52958
"species-Parvimonas_micra",95299,0,13968,0,0,0,0,577402,0,223888,24865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11828,0,0,0,0,0,8438,0,0,0,0,0,7616,1588
"species-Bacteroides_fragilis",94143,4683,568444,19493,22726,0,65765,71690,0,217569,19430,0,0,4389,560,0,25902,0,651391,0,0,2853,0,0,20574,0,0,0,0,0,358824,0,0,0,0,0,0,0,0,625582,0,689,0,0,0,0,8852,962266,376773,0,7381,82973,461727,403872,31367,74942,797603,753676,414356,5593
"species-Peptostreptococcus_anaerobius",84893,0,13899,0,0,0,0,0,0,0,190056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"species-Bacteroides_intestinalis",65302,0,12551,0,0,0,0,1934,89609,0,0,11344,0,0,0,0,0,0,0,0,0,0,0,723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46746,154252,131039,0,0,31092,389425,89278,0,35674,32470,22894,70092
"species-Bacteroides_thetaiotaomicron",62948,5640,231166,49805,13439,274038,119904,38153,173333,67371,0,113449,1876,3475,10165,0,2617,387,5632,0,0,31559,65567,0,0,0,0,1933,0,0,11499,0,8276,2824,0,0,0,1061,0,14929,1151,29221,0,829,0,0,99149,6425,2831,7289,0,145945,96229,4886,66988,0,53852,56268,100910,30797
"species-Firmicutes_bacterium_CAG-170",62914,0,11025,0,0,0,0,0,0,27534,23677,0,9370,0,0,747,0,0,0,24916,7730,4662,0,0,0,0,0,594,0,3114,38602,19113,91711,0,0,32879,0,0,26090,0,0,0,14280,0,110194,0,0,6413,8213,61630,872357,0,13974,7181,40280,960,3532,4461,10272,555061
"species-Bacteroides_caccae",61138,0,62485,0,0,0,109175,0,243085,0,39492,11561,36384,0,0,10823,11934,0,86525,0,0,21560,506944,22029,0,0,0,15449,0,0,182802,1369,330571,63269,12590,0,0,0,3266,75149,20413,244078,0,307264,683,0,0,94609,29651,0,0,126373,39376,30329,58611,0,114017,124085,37018,0
"species-Ruminococcus_bromii",54519,0,26278,37279,0,0,0,0,170503,0,20909,62102,0,0,0,38924,0,21948,129086,23718,939,1200966,5124,0,0,0,0,317,0,0,273372,13789,0,0,0,0,12179,0,21879,0,2714,42517,0,0,0,406286,0,21391,8004,12114,69449,0,8249,6767,7476,453239,13002,12214,10990,46919
"species-Phocaeicola_vulgatus",49735,4269,856956,65124,288176,0,1511950,128318,856697,33531,38595,0,62972,3247,144528,119035,18442,154252,1295356,0,0,195830,4502017,7410,13418,0,0,217209,0,5006,359116,0,2230415,92253,349146,0,0,0,0,325566,232062,0,0,162331,93216,0,489511,525773,199132,528588,57439,2568757,712156,243319,1656667,23719,1186789,1186616,741536,508462
"species-Parabacteroides_distasonis",44872,11252,135161,0,1351,0,129404,107556,65112,5655,0,23194,30596,12012,0,7271,3111,0,186968,7059,0,89841,71699,75619,0,0,0,493,0,9602,42787,0,87636,36630,0,0,0,5158,0,11180,3172,37605,0,5508,0,170150,79039,176782,91906,473226,0,170553,183699,97762,383961,221703,194709,179893,170672,273378
"species-Coprococcus_eutactus",42248,0,4696,0,0,0,0,0,0,685749,0,0,0,0,0,32603,20993,0,0,0,10668,0,0,0,27640,0,24334,15273,1359,0,97097,0,0,331,0,0,0,0,0,46419,24192,0,6451,30649,0,2208,0,0,0,0,0,0,0,0,0,7389,0,0,0,0
"species-_rectale",33218,0,13952,2084,0,0,9205,0,0,1654291,101513,0,25928,0,0,125478,1007875,574860,39718,730461,1457981,26625,154491,1348993,124824,40748,396318,66792,56474,9438,998445,0,0,95782,337397,159447,10368,0,0,111700,77440,28808,271647,21833,201451,0,0,0,0,0,87517,15850,0,0,832,0,1850,1666,0,49643
"species-Limosilactobacillus_mucosae",31509,0,127262,256885,0,0,5390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12759,0,0,3166,0,2610,387,0,0
"species-Bacteroides_ovatus",27756,0,115611,75952,123646,0,71383,17413,92925,0,40533,170562,1220,0,3529,36345,725,24646,18028,20616,0,23134,0,5285,24716,0,2516,14770,0,2461,150012,0,6179,119171,12961,0,7235,0,0,59044,20824,2285862,0,10556,0,5614,0,205952,90747,19052,0,161706,97363,77683,51199,14997,181785,189563,117949,13199
"species-Butyricimonas_virosa",20346,0,3048,0,0,0,0,0,18075,6114,0,9259,0,0,0,0,0,0,0,0,0,5716,0,0,0,0,0,0,0,0,0,0,0,0,5051,0,0,0,0,0,0,0,0,1003,0,0,1129,35662,25187,53656,0,0,25922,45296,39584,0,24691,21197,28389,27125
